gname,glong,glat,radius,vlsr,e_vlsr,line,e_line,line_unit,beam_area,line_freq,fwhm,e_fwhm,te,e_te,source,author,telescope,kdar,Rgal,near,far,tangent,vlsr_tangent,plx,dist_author,te_priority
G011.646+00.205,11.646,0.205,81.5214,56.8,0.2,6.120000000000001,0.148,mJy/beam,6893.719775719162,8000.0,17.3,0.5,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,3.3551652337000175,5.0911321321321275,10.921207207207198,7.9991201201201125,107.40970269942099,,,0
G011.662-01.692,11.662,-1.69151,907.92,18.3,2.2,154.0,19.712000000000003,mJy/beam,146848.46859520106,8000.0,18.9,3.0,,500.0,WISE Catalog,Lockman (1989),NRAO 140',N,5.989398355293501,2.245257257257255,13.760186186186175,8.004984984984977,105.56307581843781,,,0
G011.731-00.009,11.731,-0.00830938,58.4725,24.4,0.3,6.48,0.15200000000000002,mJy/beam,6893.719775719162,8000.0,24.8,0.7,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,5.413806555513934,2.8107477477477447,13.128473473473461,7.991769769769763,106.66157363854879,,,0
G011.746-00.137,11.7463,-0.136365,38.5015,59.8,0.2,7.120000000000001,0.128,mJy/beam,6893.719775719162,8000.0,19.8,0.4,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,3.2182487501743577,5.2407207207207165,10.758904904904897,7.9937277277277206,106.73407052465993,,,0
G011.769+00.567,11.7695,0.567522,93.7281,26.6,0.2,5.760000000000001,0.11599999999999999,mJy/beam,6893.719775719162,8000.0,22.1,0.6,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,5.2514569453546125,3.035866866866864,13.001104104104092,7.994202202202196,106.35941835639896,,,0
G011.770-00.039,11.77,-0.039,35.6766,2.1,0.2,12.32,0.15600000000000003,mJy/beam,6893.719775719162,8000.0,26.0,0.5,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,7.8635926110375145,0.3357657657657655,15.712696696696684,7.995324324324318,106.99870078042105,,,0
G011.773-00.041,11.7739,-0.0401092,14.1961,2.1,0.2,12.32,0.15600000000000003,mJy/beam,6893.719775719162,8000.0,26.0,0.5,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,7.917390277791906,0.23749849849849833,15.740067067067054,7.993564564564557,106.63924594145197,,,0
G011.776-00.149,11.7765,-0.148665,109.439,57.7,0.1,10.36,0.20400000000000001,mJy/beam,6893.719775719162,8000.0,14.3,0.3,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,3.317432115915935,5.120648648648643,10.88402002002001,7.998654654654647,107.08883034142278,,,0
G011.816+00.242,11.816,0.24237,155.912,17.8,0.2,6.16,0.11599999999999999,mJy/beam,6893.719775719162,8000.0,19.5,0.5,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,6.0071486156202045,2.240890890890889,13.770783783783772,7.997228228228222,106.33073433681697,,,0
G011.893+00.748,11.8932,0.748848,182.13,25.1,1.0,375.76,32.648,mJy/beam,146848.46859520106,8000.0,23.0,2.3,,500.0,WISE Catalog,Lockman (1989),NRAO 140',N,5.388393100158956,2.9242692692692662,13.102999999999989,7.992504504504497,107.11738089526834,,,0
G011.904-00.142,11.9046,-0.14102,32.0843,42.1,0.3,6.16,0.13999999999999999,mJy/beam,6893.719775719162,8000.0,25.7,0.7,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,4.179588249385656,4.173684684684681,11.832646646646637,7.99009609609609,106.80108386570632,,,0
